Module	Finished	Upfront Cost	Depth (m)	Width (m)	Area (m^2)	Position	Watts	Voltage	Amperage (120v)	Amperage (240v)	Resource page?	Number	Needs computer?	Maintenance (Docs and times)	Requirements
3D Printing	TRUE	220.00	1	1	1	Table or Shelf	350	360	2.92	1.46		1	TRUE		
Basic Art	TRUE	695.75	6	3	18	Table or Storage	0	0	0.00	0.00		2	FALSE		Quiet - Water
Bicycle Repair	TRUE	143.64	3	4	12	Floor	0	0	0.00	0.00		3	FALSE		
Carpentry	TRUE	225.00	3	4	12	Table	60	0	0.00	0.25		4	FALSE		
Coding Class	TRUE	0.00	0	0	0	Table	0	0	0.00	0.00		5	TRUE		
Computer Lab	TRUE	1,067.96	2	2	4	Table and chair	306	120	2.55	1.28		6	TRUE		
Cosmetology: Hair	TRUE	230.78	4	3	12	Chair	0	240	0.00	0.00		7	FALSE		Overlap with Cosmetology: Makeup
Cosmetology: Makeup	TRUE	352.32	4	3	12	Chair	0	120	0.00	0.00		8	FALSE		Overlap with Cosmetology: Hair
Cosmetology: Nails	TRUE	187.08	4	3	12	Table	0	120	0.00	0.00		9	FALSE		
Data Recovery	TRUE	678.00	0	0	0	Storage	0	0	0.00	0.00		10	TRUE		Electronics Repair
Electronics Repair	TRUE	134.00	0	0	0	Table	700	120	5.83	2.92		11	FALSE		
Metal Fabrication: Basic	TRUE	161.21	2	2	4	Table	0	0	0.00	0.00		13	FALSE		
Metal Fabrication: Professional	TRUE	1,277.32	3	7	21	Table	2820	120	23.50	11.75		14	FALSE		Ventilation & its own room
Music	TRUE	166.00	3	7	21	Floor	0	0	0.00	0.00		15	FALSE		Quiet
Plumbing	TRUE	227.43	3	5	15	Floor	0	0	0.00	0.00		16	FALSE		
Sewing	TRUE	398.78	2	2	4	Table	84	120	0.70	0.35		17	FALSE		
Street Food	TRUE	210.00	3	4	12	Floor	2000	120	16.67	8.33		18	FALSE		